,IF0,IF1,IF2,IF3
ea01,0.0,0.0,0.0,0.0
ea02,0.0,0.0,0.0,0.0
ea03,0.0,0.0,0.0,0.0
ea04,0.0,0.0,0.0,0.0
ea05,0.0,0.0,0.0,0.0
ea06,0.0,0.0,0.0,0.0
ea07,0.0,0.0,0.0,0.0
ea08,0.0,0.0,0.0,0.0
ea09,0.0,0.0,0.0,0.0
ea10,0.0,0.0,0.0,0.0
ea11,0.0,0.0,0.0,0.0
ea12,0.0,0.0,0.0,0.0
ea13,0.0,0.0,0.0,0.0
ea14,0.0,0.0,0.0,0.0
ea15,0.0,0.0,0.0,0.0
ea16,0.0,0.0,0.0,0.0
ea17,0.0,0.0,0.0,0.0
ea18,0.0,0.0,0.0,0.0
ea19,0.0,0.0,0.0,0.0
ea20,0.0,0.0,0.0,0.0
ea21,0.0,0.0,0.0,0.0
ea22,0.0,0.0,0.0,0.0
ea23,0.0,0.0,0.0,0.0
ea24,0.0,0.0,0.0,0.0
ea25,0.0,0.0,0.0,0.0
ea26,0.0,0.0,0.0,0.0
ea27,0.0,0.0,0.0,0.0
ea28,0.0,0.0,0.0,0.0
