ea21,-1599644.8498999998,-5042953.647,3554197.0039
ea06,-1601173.9667,-5041902.6466,3554987.5222
ea23,-1601147.9477,-5041733.8192,3555235.9436
ea04,-1600416.5285,-5042462.4407,3554536.0428
ea26,-1602044.919,-5042025.7849,3554427.8252
ea27,-1601068.8129999998,-5042051.912,3554824.8384
ea22,-1601180.8811799998,-5041947.4318,3554921.6234
ea01,-1602304.90894,-5042039.82969,3554291.7251999998
ea13,-1602592.8597,-5042054.9865,3554140.7091
ea28,-1601614.0843,-5042001.6521,3554652.5050999997
ea03,-1600622.9353999998,-5042331.7859,3554627.0449
ea18,-1601087.1845,-5041339.8324,3555815.8501999998
ea10,-1600801.9175,-5042219.3706,3554706.4491999997
ea07,-1599926.1049,-5042772.9625,3554319.7912999997
ea15,-1601061.9741999998,-5041175.8605,3556058.023
ea17,-1601162.605,-5041828.981,3555095.9013
ea14,-1601110.0439,-5041488.0928,3555597.4444999998
ea16,-1600951.5947999998,-5042125.9049,3554772.9832
ea02,-1601034.4048,-5040996.5254,3556322.9265
ea11,-1601225.2687,-5041980.34079,3554855.6895999997
ea05,-1601315.9097,-5041985.30897,3554808.298
ea24,-1602908.1956999998,-5042072.2925,3553975.9135
ea08,-1601185.648665,-5041978.148516,3554876.4235
ea25,-1601150.0647999998,-5042000.6231,3554860.7163
ea09,-1601447.2096,-5041992.5015,3554739.706
ea19,-1600183.9745999998,-5042609.9876,3554433.6226
ea12,-1601814.0664,-5042012.87205,3554548.24932
